"Name","Year","Life.Expectancy.at.Birth..Both.Sexes","Life.Expectancy.at.Birth..Males","Life.Expectancy.at.Birth..Females","Under.Age.5.Mortality..Both.Sexes","Under.Age.5.Mortality..Males","Under.Age.5.Mortality..Females","Subregion","Region"
"Turkey",2024,76.7,74.4,79.2,21.1,22.4,19.7,"Western Asia","Asia"
"Turkmenistan",2024,72.4,69.4,75.5,43.6,52,34.7,"South-Central Asia","Asia"
"Turks and Caicos Islands",2024,81.3,78.5,84.1,13.4,16.7,9.9,"Caribbean","Americas"
"Tuvalu",2024,69,66.5,71.6,45.1,45.6,44.5,"Polynesia","Oceania"
"Uganda",2024,69.7,67.5,72,39.1,43.6,34.4,"Eastern Africa","Africa"
"Ukraine",2024,70.5,65.4,75.8,10.4,11.7,9.2,"Eastern Europe","Europe"
"United Arab Emirates",2024,79.9,78.6,81.4,5.4,6,4.8,"Western Asia","Asia"
"United Kingdom",2024,82.2,80.1,84.4,4.3,4.8,3.8,"Northern Europe","Europe"
"United States",2024,80.9,78.7,83.1,6.1,6.6,5.7,"Northern America","Americas"
"Uruguay",2024,78.9,75.8,82.1,10.1,11.2,8.9,"South America","Americas"
"Uzbekistan",2024,76.2,73.6,79,22.5,25.9,19,"South-Central Asia","Asia"
"Vanuatu",2024,75.7,74,77.4,16,17.6,14.3,"Melanesia","Oceania"
"Venezuela",2024,74.5,71.5,77.7,16.4,17.6,15,"South America","Americas"
"Vietnam",2024,76.1,73.5,78.9,18.1,18.3,17.9,"South-Eastern Asia","Asia"
"Virgin Islands, British",2024,80.1,78.6,81.7,14.5,17.1,11.8,"Caribbean","Americas"
"Virgin Islands, U.S.",2024,80.7,77.6,84.1,8.2,9.6,6.7,"Caribbean","Americas"
"Wallis and Futuna",2024,81.1,78.2,84.2,4.3,4.3,4.4,"Polynesia","Oceania"
"West Bank",2024,76.5,74.4,78.8,17.9,20.6,15,"Western Asia","Asia"
"Yemen",2024,68.2,65.8,70.6,59.2,64.8,53.2,"Western Asia","Asia"
"Zambia",2024,66.9,65.2,68.7,51.3,55.3,47.1,"Eastern Africa","Africa"
"Zimbabwe",2024,67.2,65.6,68.8,47.8,51.8,43.6,"Eastern Africa","Africa"
